"National.Database.Number","Genus","Common.Name","Affiliation","City...from.strandings.table","County","State","Locality.Detail","Latitude","Latitude.Units","Longitude","Longitude.Units","Year.of.Observation","Observation.Date","Mammal.Type"
"NW-1989-1026950","Zalophus","Sea lion, California",NA,"Whidbey Island","Island","WA","Useless Bay",NA,NA,NA,NA,1989,"1989-DEC-29","Pinniped"
"NW-1989-1026952","Zalophus","Sea lion, California",NA,"Whidbey Island","Island","WA","Possession Point",NA,NA,NA,NA,1989,"1989-DEC-29","Pinniped"
"NW-1989-1026584","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","E of OSU marine operations pier",NA,NA,NA,NA,1989,"1989-FEB-14","Pinniped"
"NW-1989-1026585","Zalophus","Sea lion, California",NA,"Waldport","Lincoln","OR","S end of Patterson SP",NA,NA,NA,NA,1989,"1989-FEB-15","Pinniped"
"NW-1989-1026590","Zalophus","Sea lion, California",NA,"Sisters Point","Mason","WA","Hood Canal; Hwy 106",NA,NA,NA,NA,1989,"1989-FEB-24","Pinniped"
"NW-1989-1026592","Zalophus","Sea lion, California",NA,"Copalis Beach","Grays Harbor","WA",".5 mile N of N entrance",NA,NA,NA,NA,1989,"1989-FEB-27","Pinniped"
"NW-1989-1026595","Zalophus","Sea lion, California",NA,"Suquamish","Kitsap","WA","400 yds. N of town center",NA,NA,NA,NA,1989,"1989-FEB-28","Pinniped"
"NW-1989-1026568","Zalophus","Sea lion, California",NA,"South Beach","Lincoln","OR","South Beach SP",NA,NA,NA,NA,1989,"1989-JAN-10","Pinniped"
"NW-1989-1026696","Zalophus","Sea lion, California",NA,"Coos Bay","Coos","OR","Pony Slough",NA,NA,NA,NA,1989,"1989-JUN-13","Pinniped"
"NW-1989-1026649","Zalophus","Sea lion, California",NA,"Coos Bay","Coos","OR",NA,NA,NA,NA,NA,1989,"1989-MAY-05","Pinniped"
"NW-1989-1026665","Zalophus","Sea lion, California",NA,"Coos Bay","Coos","OR",NA,NA,NA,NA,NA,1989,"1989-MAY-22","Pinniped"
"NW-1989-1026671","Zalophus","Sea lion, California",NA,"Florence","Lane","OR","near N jetty",NA,NA,NA,NA,1989,"1989-MAY-26","Pinniped"
"NW-1990-1026163","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","near airport",NA,NA,NA,NA,1990,"1990-APR-07","Pinniped"
"NW-1990-1026189","Zalophus","Sea lion, California",NA,"Seattle","King","WA","Fauntleroy ferry terminal",NA,NA,NA,NA,1990,"1990-APR-21","Pinniped"
"NW-1990-1026192","Zalophus","Sea lion, California",NA,"Seattle","King","WA","by ferry terminal; Lincoln Park",NA,NA,NA,NA,1990,"1990-APR-22","Pinniped"
"NW-1990-1026200","Zalophus","Sea lion, California",NA,"Whidbey Island","Island","WA","near Possession Point",NA,NA,NA,NA,1990,"1990-APR-24","Pinniped"
"NW-1990-1026465","Zalophus","Sea lion, California",NA,"Lincoln City","Lincoln","OR","11 St. beach access",NA,NA,NA,NA,1990,"1990-AUG-27","Pinniped"
"NW-1990-1026551","Zalophus","Sea lion, California",NA,"Yachats","Lincoln","OR","100 yds. S of Beulah's Restaurant",NA,NA,NA,NA,1990,"1990-DEC-10","Pinniped"
"NW-1990-1026118","Zalophus","Sea lion, California",NA,"South Beach","Lincoln","OR","Idaho Pt. Road",NA,NA,NA,NA,1990,"1990-FEB-26","Pinniped"
"NW-1990-1026088","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR",NA,NA,NA,NA,NA,1990,"1990-JAN-14","Pinniped"
"NW-1990-1026348","Zalophus","Sea lion, California",NA,"Olympic National Park","Clallam","WA","Yellow Banks",NA,NA,NA,NA,1990,"1990-JUL-04","Pinniped"
"NW-1990-1026386","Zalophus","Sea lion, California",NA,"Gold Beach","Curry","OR",NA,NA,NA,NA,NA,1990,"1990-JUL-20","Pinniped"
"NW-1990-1026120","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","off Nature Trail",NA,NA,NA,NA,1990,"1990-MAR-04","Pinniped"
"NW-1990-1026121","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","Vic's Dock on bay front",NA,NA,NA,NA,1990,"1990-MAR-05","Pinniped"
"NW-1990-1026122","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR",".5 mile N of North Jetty",NA,NA,NA,NA,1990,"1990-MAR-06","Pinniped"
"NW-1990-1026123","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","Port Dock 1",NA,NA,NA,NA,1990,"1990-MAR-07","Pinniped"
"NW-1990-1026141","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","in front of Embarcadero",NA,NA,NA,NA,1990,"1990-MAR-21","Pinniped"
"NW-1990-1026142","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","in front of embarcadero",NA,NA,NA,NA,1990,"1990-MAR-21","Pinniped"
"NW-1990-1026143","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","in front of embarcadero",NA,NA,NA,NA,1990,"1990-MAR-21","Pinniped"
"NW-1990-1026144","Zalophus","Sea lion, California",NA,"Beverly Beach SP","Lincoln","OR",NA,NA,NA,NA,NA,1990,"1990-MAR-23","Pinniped"
"NW-1990-1026207","Zalophus","Sea lion, California",NA,"Florence","Lane","OR","S Jetty",NA,NA,NA,NA,1990,"1990-MAY-01","Pinniped"
"NW-1990-1026210","Zalophus","Sea lion, California",NA,"Seattle","King","WA",".5 mile S of ferry terminal; Lincoln Park",NA,NA,NA,NA,1990,"1990-MAY-03","Pinniped"
"NW-1990-1026217","Zalophus","Sea lion, California",NA,"Lincoln City","Lincoln","OR","Fishing Rock",NA,NA,NA,NA,1990,"1990-MAY-06","Pinniped"
"NW-1990-1026540","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","Embarcadero Resort",NA,NA,NA,NA,1990,"1990-NOV-15","Pinniped"
"NW-1990-1026541","Zalophus","Sea lion, California",NA,"Yachats","Lincoln","OR","mouth of Yachats River",NA,NA,NA,NA,1990,"1990-NOV-23","Pinniped"
"NW-1990-1026522","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","Agate Beach",NA,NA,NA,NA,1990,"1990-OCT-11","Pinniped"
"NW-1990-1026524","Zalophus","Sea lion, California",NA,"Waldport","Lincoln","OR",".25 mile N of Sundowner Motel",NA,NA,NA,NA,1990,"1990-OCT-13","Pinniped"
"NW-1990-1026486","Zalophus","Sea lion, California",NA,"Waldport","Lincoln","OR","Bayshore",NA,NA,NA,NA,1990,"1990-SEP-05","Pinniped"
"NW-1990-1026508","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR",".25 mile N of Agate Beach",NA,NA,NA,NA,1990,"1990-SEP-24","Pinniped"
"NW-1991-1025882","Zalophus","Sea lion, California",NA,"Coos Bay","Coos","OR","by Pt. Adams fisheries plant","43.21",NA,"124.19",NA,1991,"1991-APR-10","Pinniped"
"NW-1991-1025883","Zalophus","Sea lion, California",NA,"Coos Bay","Coos","OR","South Jetty","43.21",NA,"124.20",NA,1991,"1991-APR-10","Pinniped"
"NW-1991-1025893","Zalophus","Sea lion, California",NA,"South Beach","Lincoln","OR","at marina",NA,NA,NA,NA,1991,"1991-APR-24","Pinniped"
"NW-1991-1025896","Zalophus","Sea lion, California",NA,"Port Ludlow","Jefferson","WA","lower Oak Bay Park",NA,NA,NA,NA,1991,"1991-APR-26","Pinniped"
"NW-1991-1025897","Zalophus","Sea lion, California",NA,"Waldport","Lincoln","OR",".75 mile N of Sandcastle Restaurant",NA,NA,NA,NA,1991,"1991-APR-27","Pinniped"
"NW-1991-1025900","Zalophus","Sea lion, California",NA,NA,"Unknown","WA","no details given",NA,NA,NA,NA,1991,"1991-APR-29","Pinniped"
"NW-1991-1025901","Zalophus","Sea lion, California",NA,"Orcas Island","San Juan","WA","W side of island",NA,NA,NA,NA,1991,"1991-APR-29","Pinniped"
"NW-1991-1026026","Zalophus","Sea lion, California",NA,"Depoe Bay","Lincoln","OR","S side of Cove",NA,NA,NA,NA,1991,"1991-AUG-31","Pinniped"
"NW-1991-1025856","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","200 yds. S of Agate Beach wayside",NA,NA,NA,NA,1991,"1991-FEB-21","Pinniped"
"NW-1991-1025838","Zalophus","Sea lion, California",NA,NA,"Unknown","WA","none given",NA,NA,NA,NA,1991,"1991-JAN-17","Pinniped"
"NW-1991-1025840","Zalophus","Sea lion, California",NA,"Lincoln City","Lincoln","OR","below Lincoln Sands Motel",NA,NA,NA,NA,1991,"1991-JAN-18","Pinniped"
"NW-1991-1025950","Zalophus","Sea lion, California",NA,"Marrowstone Island","Jefferson","WA","Nordland; S of beach",NA,NA,NA,NA,1991,"1991-JUN-08","Pinniped"
"NW-1991-1025865","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","50 yds. N of North Jetty",NA,NA,NA,NA,1991,"1991-MAR-08","Pinniped"
"NW-1991-1025866","Zalophus","Sea lion, California",NA,"Waldport","Lincoln","OR","2 miles S of town in front of Sandcastle Inn",NA,NA,NA,NA,1991,"1991-MAR-12","Pinniped"
"NW-1991-1025870","Zalophus","Sea lion, California",NA,"Lincoln City","Lincoln","OR","5840 El Mar; Coronado Shores",NA,NA,NA,NA,1991,"1991-MAR-19","Pinniped"
"NW-1991-1025872","Zalophus","Sea lion, California",NA,"Coos Bay","Coos","OR",NA,"43.22",NA,"124.16",NA,1991,"1991-MAR-24","Pinniped"
"NW-1991-1025921","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR",".3 ile S of Beverly Beach access",NA,NA,NA,NA,1991,"1991-MAY-15","Pinniped"
"NW-1991-1025923","Zalophus","Sea lion, California",NA,"Port Orchard","Kitsap","WA","Rich Passage",NA,NA,NA,NA,1991,"1991-MAY-17","Pinniped"
"NW-1991-1025924","Zalophus","Sea lion, California",NA,"Seattle","King","WA","Lincoln Park near ferry terminal",NA,NA,NA,NA,1991,"1991-MAY-18","Pinniped"
"NW-1991-1025925","Zalophus","Sea lion, California",NA,"Vashon Island","King","WA","Magnolia Beach of Quartermaster Harbor",NA,NA,NA,NA,1991,"1991-MAY-18","Pinniped"
"NW-1991-1025928","Zalophus","Sea lion, California",NA,"Burien","King","WA","1/8 mile S of park boundary; Seahurst",NA,NA,NA,NA,1991,"1991-MAY-22","Pinniped"
"NW-1991-1026063","Zalophus","Sea lion, California",NA,"Neskowin","Tillamook","OR","S of Proposal Rock; South Beach",NA,NA,NA,NA,1991,"1991-NOV-05","Pinniped"
"NW-1991-1026062","Zalophus","Sea lion, California",NA,"Neskowin","Tillamook","OR","S of Proposal Rock; South Beach",NA,NA,NA,NA,1991,"1991-NOV-05","Pinniped"
"NW-1991-1026061","Zalophus","Sea lion, California",NA,"Neskowin","Tillamook","OR","S of Proposal Rock; South Beach",NA,NA,NA,NA,1991,"1991-NOV-05","Pinniped"
"NW-1991-1026074","Zalophus","Sea lion, California",NA,"Lincoln City","Lincoln","OR","200 yds. S of the Inn at Spanish Head",NA,NA,NA,NA,1991,"1991-NOV-27","Pinniped"
"NW-1991-1026046","Zalophus","Sea lion, California",NA,"Seal Rock","Lincoln","OR","S end of beach",NA,NA,NA,NA,1991,"1991-OCT-01","Pinniped"
"NW-1991-1026045","Zalophus","Sea lion, California",NA,"Bailey Beach","Curry","OR","N side of Rogue River","42.25",NA,NA,NA,1991,"1991-OCT-01","Pinniped"
"NW-1991-1026049","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","S side of Jump Off Joe",NA,NA,NA,NA,1991,"1991-OCT-07","Pinniped"
"NW-1991-1026050","Zalophus","Sea lion, California",NA,"Yaquina","Lincoln","OR","Yaquina Bay State Park",NA,NA,NA,NA,1991,"1991-OCT-08","Pinniped"
"NW-1991-1026059","Zalophus","Sea lion, California",NA,"Rockaway Beach","Tillamook","OR","Rockaway City Hall",NA,NA,NA,NA,1991,"1991-OCT-24","Pinniped"
"NW-1991-1026039","Zalophus","Sea lion, California",NA,"Whale Cove","Lincoln","OR","N side of Cove",NA,NA,NA,NA,1991,"1991-SEP-18","Pinniped"
"NW-1991-1026041","Zalophus","Sea lion, California",NA,"Neskowin","Tillamook","OR",".75 miles N of town",NA,NA,NA,NA,1991,"1991-SEP-24","Pinniped"
"NW-1991-1026042","Zalophus","Sea lion, California",NA,"Pacific City","Tillamook","OR","Turnabout Motel",NA,NA,NA,NA,1991,"1991-SEP-25","Pinniped"
"NW-1992-1025419","Zalophus","Sea lion, California",NA,"Waldport","Lincoln","OR","Bayshore",NA,NA,NA,NA,1992,"1992-APR-01","Pinniped"
"NW-1992-1025452","Zalophus","Sea lion, California",NA,"Lake Oswego","Clackamas","OR","upstream from railroad bridge on the Willamette River",NA,NA,NA,NA,1992,"1992-APR-23","Pinniped"
"NW-1992-1025451","Zalophus","Sea lion, California",NA,"Waldport","Lincoln","OR",".25 mile N of beach access at Sandpiper Village",NA,NA,NA,NA,1992,"1992-APR-23","Pinniped"
"NW-1992-1025450","Zalophus","Sea lion, California",NA,"Waldport","Lincoln","OR","S of Sandpiper Village beach access; Oceana Drive",NA,NA,NA,NA,1992,"1992-APR-23","Pinniped"
"NW-1992-1025640","Zalophus","Sea lion, California",NA,"Pacific Beach","Pacific","WA",NA,NA,NA,NA,NA,1992,"1992-AUG-20","Pinniped"
"NW-1992-1025641","Zalophus","Sea lion, California",NA,"Waldport","Lincoln","OR","Bayshore; just N of Bayshore Beach Club",NA,NA,NA,NA,1992,"1992-AUG-21","Pinniped"
"NW-1992-1025815","Zalophus","Sea lion, California",NA,NA,"Clatsop","OR","Falcon Cove",NA,NA,NA,NA,1992,"1992-DEC-02","Pinniped"
"NW-1992-1025818","Zalophus","Sea lion, California",NA,"Iron Springs","Grays Harbor","WA","Iron Springs Resort",NA,NA,NA,NA,1992,"1992-DEC-04","Pinniped"
"NW-1992-1025817","Zalophus","Sea lion, California",NA,"Orcas Island","San Juan","WA","Buoy Bay near Doe Bay",NA,NA,NA,NA,1992,"1992-DEC-04","Pinniped"
"NW-1992-1025399","Zalophus","Sea lion, California",NA,"Waldport","Lincoln","OR","Alsea Bay",NA,NA,NA,NA,1992,"1992-FEB-28","Pinniped"
"NW-1992-1025380","Zalophus","Sea lion, California",NA,"Nisqually","Thurston","WA","Centralia City Light dam; ~20 miles up Nisqually River",NA,NA,NA,NA,1992,"1992-JAN-11","Pinniped"
"NW-1992-1025384","Zalophus","Sea lion, California",NA,"Gold Beach","Curry","OR","Otter State Park",NA,NA,NA,NA,1992,"1992-JAN-21","Pinniped"
"NW-1992-1025568","Zalophus","Sea lion, California",NA,"Seattle","King","WA","12069 30th Ave SW",NA,NA,NA,NA,1992,"1992-JUL-07","Pinniped"
"NW-1992-1025577","Zalophus","Sea lion, California",NA,"Siletz Bay","Lincoln","OR","Siletz Bay; N side across from seal haulout",NA,NA,NA,NA,1992,"1992-JUL-11","Pinniped"
"NW-1992-1025530","Zalophus","Sea lion, California",NA,"Bainbridge Island","Kitsap","WA","Pt. White Drive",NA,NA,NA,NA,1992,"1992-JUN-14","Pinniped"
"NW-1992-1025546","Zalophus","Sea lion, California",NA,"Kingston","Kitsap","WA","Pleasant Point",NA,NA,NA,NA,1992,"1992-JUN-23","Pinniped"
"NW-1992-1025457","Zalophus","Sea lion, California",NA,"Belfair","Mason","WA","Hood Canal",NA,NA,NA,NA,1992,"1992-MAY-02","Pinniped"
"NW-1992-1025458","Zalophus","Sea lion, California",NA,"Mukilteo","Snohomish","WA","Gardner Bay; off of Mukilteo",NA,NA,NA,NA,1992,"1992-MAY-02","Pinniped"
"NW-1992-1025460","Zalophus","Sea lion, California",NA,"Seattle","King","WA","Discovery Park",NA,NA,NA,NA,1992,"1992-MAY-05","Pinniped"
"NW-1992-1025463","Zalophus","Sea lion, California",NA,"Shaw Island","San Juan","WA","W side of island",NA,NA,NA,NA,1992,"1992-MAY-06","Pinniped"
"NW-1992-1025470","Zalophus","Sea lion, California",NA,"Camano Island","Island","WA","Camano State Park",NA,NA,NA,NA,1992,"1992-MAY-09","Pinniped"
"NW-1992-1025474","Zalophus","Sea lion, California",NA,"Waldport","Lincoln","OR","Sandpiper Village; Bayshore",NA,NA,NA,NA,1992,"1992-MAY-11","Pinniped"
"NW-1992-1025497","Zalophus","Sea lion, California",NA,"Vashon Island","King","WA","NE side of island btn Ellisport & Luanna Beach",NA,NA,NA,NA,1992,"1992-MAY-18","Pinniped"
"NW-1992-1025511","Zalophus","Sea lion, California",NA,"Pacific Beach","Pacific","WA",NA,NA,NA,NA,NA,1992,"1992-MAY-25","Pinniped"
"NW-1992-1025515","Zalophus","Sea lion, California",NA,"Bainbridge Island","Kitsap","WA","14320 Sunrise Dr.; .75 miles S of Fay Bainbridge State Park",NA,NA,NA,NA,1992,"1992-MAY-26","Pinniped"
"NW-1992-1025797","Zalophus","Sea lion, California",NA,"Whidbey Island","Island","WA","N side of Penn Cove",NA,NA,NA,NA,1992,"1992-NOV-04","Pinniped"
"NW-1992-1025806","Zalophus","Sea lion, California",NA,"Seattle","King","WA","Shilshole Bay marina",NA,NA,NA,NA,1992,"1992-NOV-14","Pinniped"
"NW-1992-1025807","Zalophus","Sea lion, California",NA,"Newport","Lincoln","OR","S jetty",NA,NA,NA,NA,1992,"1992-NOV-16","Pinniped"
"NW-1992-1025740","Zalophus","Sea lion, California",NA,"Ocean Shores","Grays Harbor","WA",NA,NA,NA,NA,NA,1992,"1992-OCT-05","Pinniped"
"NW-1992-1025781","Zalophus","Sea lion, California",NA,"Camano Island","Island","WA","on Saratoga Passage",NA,NA,NA,NA,1992,"1992-OCT-22","Pinniped"
"NW-1992-1025787","Zalophus","Sea lion, California",NA,"Whidbey Island","Island","WA",NA,NA,NA,NA,NA,1992,"1992-OCT-25","Pinniped"
"NW-1992-1025703","Zalophus","Sea lion, California",NA,"Copalis Beach","Grays Harbor","WA",NA,NA,NA,NA,NA,1992,"1992-SEP-25","Pinniped"
"NW-1993-1025205","Zalophus","Sea lion, California",NA,"Port Orchard","Kitsap","WA","4317 Beach Drive NE",NA,NA,NA,NA,1993,"1993-AUG-02","Pinniped"
"NW-1993-1025219","Zalophus","Sea lion, California",NA,"Everett","Snohomish","WA","Jetty Island",NA,NA,NA,NA,1993,"1993-AUG-06","Pinniped"
"NW-1993-1025233","Zalophus","Sea lion, California",NA,"Kingston","Kitsap","WA","Jefferson Beach",NA,NA,NA,NA,1993,"1993-AUG-16","Pinniped"
"NW-1993-1025253","Zalophus","Sea lion, California",NA,"Grayland","Grays Harbor","WA","Warrenton Cannery Road OBA",NA,NA,NA,NA,1993,"1993-AUG-24","Pinniped"
"NW-1993-1025366","Zalophus","Sea lion, California",NA,"Whidbey Island","Island","WA","Columbia Beach",NA,NA,NA,NA,1993,"1993-DEC-05","Pinniped"
"NW-1993-1025372","Zalophus","Sea lion, California",NA,"Tacoma","Pierce","WA","#3 Salmon Beach",NA,NA,NA,NA,1993,"1993-DEC-21","Pinniped"
"NW-1993-1025373","Zalophus","Sea lion, California",NA,"Whidbey Island","Island","WA","Mutiny Bay near the Cliff House",NA,NA,NA,NA,1993,"1993-DEC-24","Pinniped"
"NW-1993-1025374","Zalophus","Sea lion, California",NA,"Sequim","Clallam","WA","Pt. Williams",NA,NA,NA,NA,1993,"1993-DEC-25","Pinniped"
"NW-1993-1024941","Zalophus","Sea lion, California",NA,"Whidbey Island","Island","WA","Holmes Harbor",NA,NA,NA,NA,1993,"1993-FEB-04","Pinniped"
"NW-1993-1024947","Zalophus","Sea lion, California",NA,"Everett","Snohomish","WA","Glennwood Creek",NA,NA,NA,NA,1993,"1993-FEB-16","Pinniped"
"NW-1993-1024952","Zalophus","Sea lion, California",NA,"Shelton","Mason","WA","side of Hwy 101 & 106; ~3 miles from Hood Canal",NA,NA,NA,NA,1993,"1993-FEB-26","Pinniped"
"NW-1993-1024929","Zalophus","Sea lion, California",NA,"Shelton","Mason","WA","Minerva Beach; Hood Canal",NA,NA,NA,NA,1993,"1993-JAN-04","Pinniped"
"NW-1993-1024931","Zalophus","Sea lion, California",NA,"Three Tree Point","King","WA",NA,NA,NA,NA,NA,1993,"1993-JAN-10","Pinniped"
"NW-1993-1025171","Zalophus","Sea lion, California",NA,"Long beach","Pacific","WA",".5 mile S of 177th Street approach",NA,NA,NA,NA,1993,"1993-JUL-10","Pinniped"
"NW-1993-1025193","Zalophus","Sea lion, California",NA,"Everett","Snohomish","WA","Howarth Park",NA,NA,NA,NA,1993,"1993-JUL-22","Pinniped"
"NW-1993-1025110","Zalophus","Sea lion, California",NA,"Port Orchard","Kitsap","WA","floating off beach",NA,NA,NA,NA,1993,"1993-JUN-04","Pinniped"
"NW-1993-1025112","Zalophus","Sea lion, California",NA,"Bainbridge Island","Kitsap","WA","near Crystal Springs pier",NA,NA,NA,NA,1993,"1993-JUN-07","Pinniped"
"NW-1993-1025120","Zalophus","Sea lion, California",NA,"Moclips","Grays Harbor","WA",NA,NA,NA,NA,NA,1993,"1993-JUN-11","Pinniped"
"NW-1993-1025135","Zalophus","Sea lion, California",NA,"Whidbey Island","Island","WA","Rocky Point",NA,NA,NA,NA,1993,"1993-JUN-18","Pinniped"
"NW-1993-1025104","Zalophus","Sea lion, California",NA,"Oyehut","Grays Harbor","WA","1.9 miles N of Oyehut OBA",NA,NA,NA,NA,1993,"1993-MAR-15","Pinniped"
"NW-1993-1025108","Zalophus","Sea lion, California",NA,"Ocean City","Grays Harbor","WA","S of Roosevelt Gap OBA",NA,NA,NA,NA,1993,"1993-MAR-15","Pinniped"
"NW-1993-1024978","Zalophus","Sea lion, California",NA,NA,"Grays Harbor","WA","Quinalt Reservation; just S of Pt. Grenville at Window Rock; N Moclips","47.18",NA,"124.13",NA,1993,"1993-MAR-17","Pinniped"
"NW-1993-1024990","Zalophus","Sea lion, California",NA,"Moclips","Grays Harbor","WA","Quinalt Reservation beach just S of Pt. Grenville at Window Rock","47.18",NA,"124.13",NA,1993,"1993-MAR-18","Pinniped"
"NW-1993-1024982","Zalophus","Sea lion, California",NA,"Moclips","Grays Harbor","WA",".1 mile S of Roosevelt Rd beach access",NA,NA,NA,NA,1993,"1993-MAR-18","Pinniped"
"NW-1993-1024984","Zalophus","Sea lion, California",NA,"Moclips","Grays Harbor","WA",".8 miles S of Roosevelt Rd beach access","47.13",NA,"124.12",NA,1993,"1993-MAR-18","Pinniped"
