"Field.Number","National.Database.Number","Affiliation","Common.Name","Observation.Date","State","County","City...from.strandings.table","Locality.Detail","Latitude","mean_lat","Lat_error","Longitude","mean_long","Long_error"
"FMMMCC-10-118","SW-2010-1118410","Fort MacArthur Marine Mammal Care Center","Seal, northern elephant","2010-MAR-22","CA","Los Angeles","MALIBU","LATIGO SHORE DRIVE",31.028844,33.9463884433333,2.91754444333333,-118.754272,-118.555894658204,0.198377341796089
"BLANK","SW-2010-1138206","U.S. NAVY","UNIDENTIFIED WHALE","2010-OCT-31","CA","Los Angeles",NA,"Off of San Clemente Island.",31.41,33.9463884433333,2.53638844333333,-118.51,-118.555894658204,-0.0458946582039061
"SWC-PVR-14-02B","SW-2014-1157876","SeaWorld of California","Seal, harbor","2014-MAR-03","CA","San Diego","SAN DEIGO","WIND N SEA BEACH IN LA JOLLA AT PALOMAR AVENUE AND NEPTUNE PLACE 50 YARDS SOUTH OF STAIRCASE",31.4936,32.8061558059814,1.31255580598138,-117.1647,-117.233907868453,-0.0692078684533328
"TMMC-CSL-9492","SW-2010-1126653","The Marine Mammal Center","Sea lion, California","2010-MAY-17","CA","Monterey","MONTEREY","BREAKWATER COVE MARINA (MONTEREY HARBOR) BY THE LAUNCH RAMP NEXT TO THE COAST GUARD JETTY",31.608,36.6521344782035,5.0441344782035,-121.888,-121.836668470617,0.051331529383404
"BLANK","SW-2013-1183674","Naval Base Point Loma Environmental","Sea lion, California","2013-APR-29","CA","San Diego","San Diego","Naval Base Point Loma",32,32.8061558059814,0.806155805981383,-117,-117.233907868453,-0.233907868453329
"BLANK","SW-2013-1183650","Naval Base Point Loma Environmental","Seal, harbor","2013-APR-05","CA","San Diego","San Diego","Naval Base Point Loma",32,32.8061558059814,0.806155805981383,-117,-117.233907868453,-0.233907868453329
"SWC-ZC-12-01B","SW-2011-1138886","SeaWorld of California","Sea lion, California","2012-JAN-03","CA","San Diego","LA JOLLA","LA JOLLA COVE ALONG COAST BOULEVARD",32.002,32.8061558059814,0.804155805981381,-117.16393,-117.233907868453,-0.0699778684533356
"SWC-ZC-13-223B","SW-2013-1150683","SeaWorld of California","Sea lion, California","2013-MAR-25","CA","San Diego","ENCINITAS","100 YARDS SOUTH OF MOONLIGHT BEACH LIFEGUARD STATION",32.0213,32.8061558059814,0.784855805981387,-117.1731,-117.233907868453,-0.060807868453324
"SWC-CU-15-01B","SW-2015-1178946","SeaWorld of California","Seal, Northern fur","2015-OCT-25","CA","San Diego","ENCINITAS","MOONLIGHT BEACH ALONG COAST HIGHWAY NEAR ENCINITAS BOULEVARD",32.025,32.8061558059814,0.781155805981385,-117.1752,-117.233907868453,-0.0587078684533253
"SWC-ZC-16-127B","SW-2016-1182338","SeaWorld of California","Sea lion, California","2016-FEB-21","CA","San Diego","ENCINITAS","SEA WORLD TEAM PICKED ANIMAL UP IN CUSTODY WITH THE ENCINITAS LIFEGUARDS AT 400 C STREET.",32.02735,32.8061558059814,0.778805805981385,-117.17863,-117.233907868453,-0.0552778684533308
"SWC-ZC-16-153B","SW-2016-1182661","SeaWorld of California","Sea lion, California","2016-FEB-27","CA","San Diego","ENCINITAS","SEAWORLD TEAM PICKED UP ANIMAL IN CUSTODY AT MOONLIGHT BEACH LIFEGUARD STATION AT 400 C STREET. LIFEGUARDS PICKED UP 100 YARDS SOUTH OF D STREET.",32.0274,32.8061558059814,0.778755805981383,-117.1786,-117.233907868453,-0.0553078684533261
"SWC-ZC-09-88B","SW-2009-1091023","SeaWorld of California","Sea lion, California","2009-MAY-08","CA","San Diego","ENCINITAS","STONE STEPS AT NEPTUNE AVENUE AND SOUTH EL PORTAL",32.02836,32.8061558059814,0.777795805981384,-117.17875,-117.233907868453,-0.0551578684533354
"SWC-MA-07-46B","SW-2007-1066023","SeaWorld of California","Seal, northern elephant","2007-APR-01","CA","San Diego","ENCINITAS","MOONLIGHT BEACH AT ENCINITAS BOULEVARD, MAIN LIFEGUARD TOWER",32.02836,32.8061558059814,0.777795805981384,-117.17875,-117.233907868453,-0.0551578684533354
"SWC-ZC-07-27B","SW-2007-1065621","SeaWorld of California","Sea lion, California","2007-FEB-24","CA","San Diego","ENCINITAS","MOONLIGHT BEACH LIFEGUARD TOWER",32.02836,32.8061558059814,0.777795805981384,-117.17875,-117.233907868453,-0.0551578684533354
"SWC-ZC-08-62B","SW-2008-1076913","SeaWorld of California","Sea lion, California","2008-APR-30","CA","San Diego","ENCINITAS","MOONLIGHT BEACH AT ""STEPS"" 600 NEPTUNE AVENUE LIFEGUARDS TOOK ANIMAL INTO CUSTODY",32.02836,32.8061558059814,0.777795805981384,-117.17875,-117.233907868453,-0.0551578684533354
"SWC-ZC-13-43B","SW-2013-1150165","SeaWorld of California","Sea lion, California","2013-FEB-19","CA","San Diego","ENCINITAS","MOONLIGHT BEACH AT D STREET. TAKEN INTO CUSTODY BY LIFEGUARDS",32.02837,32.8061558059814,0.777785805981381,-117.17877,-117.233907868453,-0.055137868453329
"SWC-ZC-13-44B","SW-2013-1150166","SeaWorld of California","Sea lion, California","2013-FEB-19","CA","San Diego","ENCINITAS","MOONLIGHT BEACH AT D STREET. TAKEN INTO CUSTODY BY LIFEGUARDS",32.02837,32.8061558059814,0.777785805981381,-117.17877,-117.233907868453,-0.055137868453329
"SWC-ZC-12-11B","SW-2012-1141592","SeaWorld of California","Sea lion, California","2012-MAR-10","CA","San Diego","ENCINITAS","498 C STREET NEAR ENCINITAS BOULEVARD AND SOUTH VULCAN.",32.02838,32.8061558059814,0.777775805981385,-117.17871,-117.233907868453,-0.0551978684533339
"SWC-ZC-07-15B","SW-2007-1065531","SeaWorld of California","Sea lion, California","2007-FEB-03","CA","San Diego","ENCINITAS","MOONLIGHT BEACH AT B STREET",32.02845,32.8061558059814,0.777705805981384,-117.17865,-117.233907868453,-0.0552578684533245
"SWC-MA-14-07B","SW-2014-1157713","SeaWorld of California","Seal, northern elephant","2014-APR-08","CA","San Diego","ENCINITAS","PICKED UP IN FRONT OF AND IN CUSTODY AT MOONLIGHT BEACH LIFEGUARD STATION.",32.02846,32.8061558059814,0.777695805981381,-117.17855,-117.233907868453,-0.0553578684533278
"SWC-ZC-09-07B","SW-2009-1086709","SeaWorld of California","Sea lion, California","2009-JAN-19","CA","San Diego","ENCINITAS","MOONLIGHT BEACH",32.02864,32.8061558059814,0.77751580598138,-117.17866,-117.233907868453,-0.0552478684533355
"SWC-MA-11-17B","SW-2011-1129636","SeaWorld of California","Seal, northern elephant","2011-MAR-19","CA","San Diego","ENCINITAS","MOONLIGHT BEACH-TAKEN INTO CUSTODY BY ENCINITAS LIFEGUARDS AND PICKED UP BY SEAWORLD AT THE MAIN LIFEGUARD STATION AT 505 SOUTH VULCAN AVENUE.",32.02932,32.8061558059814,0.776835805981385,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-MA-11-20B","SW-2011-1129699","SeaWorld of California","Seal, northern elephant","2011-MAR-25","CA","San Diego","ENCINITAS","ENCINITAS BOULEVARD AND HIGHWAY 101. PICKED UP BY MOONLIGHT BEACH LIFEGUARDS. IN CUSTODY.",32.02932,32.8061558059814,0.776835805981385,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-PV-11-51B","SW-2011-1134484","SeaWorld of California","Seal, harbor","2011-JUL-05","CA","San Diego","ENCINITAS","PICKED UP BY MOONLIGHT BEACH LIFEGUARDS",32.02932,32.8061558059814,0.776835805981385,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-MA-11-26B","SW-2011-1130322","SeaWorld of California","Seal, northern elephant","2011-APR-07","CA","San Diego","ENCINITAS","IN CUSTODY OF MOONLIGHT BEACH LIFEGUARDS AT THE END OF ENCINITAS BOULEVARD.",32.02932,32.8061558059814,0.776835805981385,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-ZC-11-66B","SW-2011-1138352","SeaWorld of California","Sea lion, California","2011-DEC-30","CA","San Diego","ENCINITAS","MOONLIGHT BEACH AT ENCINITAS LIFEGUARDS AND HIGHWAY 101.",32.02932,32.8061558059814,0.776835805981385,-117.17336,-117.233907868453,-0.0605478684533267
"CWC-JLH-12-0903D","SW-2012-1145213","California Wildlife Center","Sea lion, California","2012-SEP-09","CA","Los Angeles","Malibu","Malibu Colony in front of house #54",32.03142,33.9463884433333,1.91496844333334,-118.686161,-118.555894658204,0.130266341796087
"SWC-MA-06-26B","SW-2006-1057357","SeaWorld of California","Seal, northern elephant","2006-MAR-24","CA","San Diego","ENCINITAS","BETWEEN BEACON STREET AND THE STONE STEPS",32.03464,32.8061558059814,0.77151580598138,-117.18578,-117.233907868453,-0.0481278684533351
"FMMMCC-10-117","SW-2010-1118409","Fort MacArthur Marine Mammal Care Center","Seal, northern elephant","2010-MAR-23","CA","Los Angeles","MALIBU","LAS FLORES 21036 PACIFIC COAST HIGHWAY",32.037231,33.9463884433333,1.90915744333333,-118.635917,-118.555894658204,0.080022341796095
"SWC-PV-07-115B","SW-2007-1067593","SeaWorld of California","Seal, harbor","2007-MAY-13","CA","San Diego","IMPERIAL BEACH","IMPERIAL BEACH PIER",32.04118,32.8061558059814,0.764975805981386,-117.14698,-117.233907868453,-0.0869278684533299
"NONE-ASSIGNED","SW-2009-1093267","U.S. NAVY","Dolphin, unidentified","2009-MAR-16","CA","San Diego",NA,"55 MILES SOUTHWEST OF SAN DIEGO",32.08,32.8061558059814,0.726155805981385,-118.11,-117.233907868453,0.87609213154667
"SWC-ZC-13-257B","SW-2013-1150807","SeaWorld of California","Sea lion, California","2013-MAR-31","CA","San Diego","ENCINITAS","IN CUSTODY OF MOONLIGHT BEACH LIFEGUARDS",32.09232,32.8061558059814,0.713835805981383,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-CU-15-02B","SW-2015-1180137","SeaWorld of California","Seal, Northern fur","2015-NOV-12","CA","San Diego","ENCINITAS","MOONLIGHT BEACH. APPROXIMATELY ONE MILE NORTH OF LIFEGUARD TOWER ON SAND AT NEPTUNE AVENUE. SEAWORLD TEAM PICKED UP ANIMAL IN CUSTODY AT MOONLIGHT BEACH MAIN LIFEGUARD TOWER",32.09232,32.8061558059814,0.713835805981383,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-ZC-16-35B","SW-2016-1181676","SeaWorld of California","Sea lion, California","2016-FEB-02","CA","San Diego","ENCINITAS","ENCINITAS LIFEGUARDS PICKED ANIMAL UP AT 1298 SOUTH COAST HIGHWAY 101 ON THE BEACH. SEAWORLD TEAM PICKED UP ANIMAL IN CUSTODY AT 400 C STREET WITH THE MOONLIGHT BEACH LIFEGUARDS.",32.09232,32.8061558059814,0.713835805981383,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-ZC-15-142B","SW-2015-1171631","SeaWorld of California","Sea lion, California","2015-FEB-10","CA","San Diego","ENCINITAS","MOONLIGHT BEACH. ANIMAL WAS PICKED UP AT 45 WEST D STREET. CROSS STREET IS 4TH ST. SEAWORLD TEAM PICKED UP ANIMAL IN CUSTODY OF LIFEGUARDS.",32.09232,32.8061558059814,0.713835805981383,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-ZC-15-143B","SW-2015-1171633","SeaWorld of California","Sea lion, California","2015-FEB-10","CA","San Diego","ENCINITAS","MOONLIGHT BEACH. ANIMAL PICKED UP AT 850 NEPTUNE AVE. SEAWORLD TEAM PICKED UP ANIMAL IN CUSTODY WITH MOONLIGHT BEACH LIFEGUARDS",32.09232,32.8061558059814,0.713835805981383,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-ZC-15-91B","SW-2015-1171536","SeaWorld of California","Sea lion, California","2015-FEB-02","CA","San Diego","ENCINITAS","MOONLIGHT BEACH. NORTH OF MAIN LIFEGUARD TOWER. SEAWORLD TEAM PICKED UP ANIMAL AT MOONLIGHT BEACH LIFEGUARD STATION AT 505 SOUTH VULCAN AVENUE",32.09232,32.8061558059814,0.713835805981383,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-ZC-15-204B","SW-2015-1171941","Sea World of California","Sea lion, California","2015-FEB-15","CA","San Diego","ENCINITAS","IN CUSTODY MOONLIGHT BEACH LIFEGUARDS",32.09232,32.8061558059814,0.713835805981383,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-ZC-15-176B","SW-2015-1171834","SeaWorld of California","Sea lion, California","2015-FEB-12","CA","San Diego","ENCINITAS","IN CUSTODY WITH ENCINITAS LIFEGAURDS 400 WEST C STREET ""A"" STREET AND 4TH AVE",32.09232,32.8061558059814,0.713835805981383,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-ZC-15-89B","SW-2015-1171534","SeaWorld of California","Sea lion, California","2015-FEB-02","CA","San Diego","ENCINITAS","ENCINITAS BEACH. ENCINITAS BLVD AND HIGH WAY 101",32.09232,32.8061558059814,0.713835805981383,-117.17336,-117.233907868453,-0.0605478684533267
"SWC-ZC-14-204B","SW-2014-1171495","SeaWorld of California","Sea lion, California","2014-DEC-28","CA","San Diego","OCEANSIDE","IN CUSTODY OF LIFEGAURDS. PICKED UP AT CASSIDY STREET AND SOUTH PACIFIC STREET.",32.1032,32.8061558059814,0.702955805981382,-117.2155,-117.233907868453,-0.0184078684533233
"SWC-ZC-16-228B","SW-2016-1183359","SeaWorld of California","Sea lion, California","2016-MAR-19","CA","San Diego","OCEANSIDE","IN CUSTODY AT OCEANSIDE LIFEGUARD STATION. ANIMAL PICKED UP BY LIFEGUARDS NEAR 301 NORTH THE STRAND.",32.11665,32.8061558059814,0.689505805981383,-117.23091,-117.233907868453,-0.00299786845333472
"SWC-ZC-15-144B","SW-2015-1171619","SeaWorld of California","Sea lion, California","2015-FEB-10","CA","San Diego","OCEANSIDE","OCEANSIDE BEACH. SEAWORLD TEAM PICKED UP ANIMAL IN CUSTODY WITH THE OCEANSIDE LIFEGUARDS. 301 THE STRAND",32.12001,32.8061558059814,0.686145805981383,-117.23389,-117.233907868453,-1.78684533267415e-05
"SWC-ZC-15-759B","SW-2015-1173286","SeaWorld of California","Sea lion, California","2015-MAY-20","CA","San Diego","OCEANSIDE","OCEANSIDE. 1200 NORTH PACIFIC STREET.",32.12161,32.8061558059814,0.684545805981386,-117.23549,-117.233907868453,0.00158213154666953
"SWC-ZC-16-192B","SW-2016-1182985","SeaWorld of California","Sea lion, California","2016-MAR-09","CA","San Diego","OCEANSIDE","OCEANSIDE. SEAWORLD TEAM PICKED UP ANIMAL IN CUSTODY WITH THE OCEANSIDE HARBOR POLICE AT 1540 NORTH HARBOR DRIVE.",32.1235,32.8061558059814,0.682655805981383,-117.235908,-117.233907868453,0.00200013154666578
"SWC-ZC-15-241B","SW-2015-1172113","SeaWorld of California","Sea lion, California","2015-FEB-19","CA","San Diego","OCEANSIDE","IN CUSTODY WITH THE OCEANSIDE HARBOR POLICE 1540 NORTH HARBOR DRIVE",32.1236,32.8061558059814,0.68255580598138,-117.2339,-117.233907868453,-7.86845332356734e-06
"SWC-ZC-16-230B","SW-2016-1183361","SeaWorld of California","Sea lion, California","2016-MAR-19","CA","San Diego","OCEANSIDE","IN CUSTODY AT OCEANSIDE LIFEGUARD STATION. ANIMAL WAS PICKED UP BY LIFEGUARDS AROUND 2008 SOUTH HARBOR DRIVE.",32.12445,32.8061558059814,0.68170580598138,-117.23842,-117.233907868453,0.00451213154667585
"SWC-ZC-13-63B","SW-2013-1150193","SeaWorld of California","Sea lion, California","2013-MAR-01","CA","San Diego","OCEANSIDE","MISSION ANIMAL AND BIRD HOSPITAL 655 BENNETT ROAD. FISHERMAN ACCIDENTALLY HOOKED PUP ON FISHING LINE, HE TOOK PUP TO VETERINARIAN.",32.1251,32.8061558059814,0.68105580598138,-117.2126,-117.233907868453,-0.0213078684533343
"SWC-MA-10-54B","SW-2010-1120669","SeaWorld of California","Seal, northern elephant","2010-APR-08","CA","San Diego","CAMP PENDLETON","DEL MAR BEACH",32.12884,32.8061558059814,0.677315805981387,-117.24301,-117.233907868453,0.00910213154666906
"SWC-ZC-10-57B","SW-2010-1120673","SeaWorld of California","Sea lion, California","2010-APR-10","CA","San Diego","CAMP PENDLETON","DEL MAR BEACH NORTH SIDE OF THE JETTY",32.12884,32.8061558059814,0.677315805981387,-117.24301,-117.233907868453,0.00910213154666906
"SWC-ZC-06-130B","SW-2006-1069791","SeaWorld of California","Sea lion, California","2006-AUG-23","CA","San Diego","OCEANSIDE","CAMP PENDLETON WHITE BEACH. MGRS 58061.81596",32.12891,32.8061558059814,0.677245805981386,-117.2324,-117.233907868453,-0.00150786845333073
"SWC-ZC-07-45B","SW-2007-1066021","SeaWorld of California","Sea lion, California","2007-MAR-31","CA","San Diego","OCEANSIDE","CAMP PENDLETON WHITE BEACH",32.12891,32.8061558059814,0.677245805981386,-117.2324,-117.233907868453,-0.00150786845333073
"SWC-PV-07-51B","SW-2007-1066149","SeaWorld of California","Seal, harbor","2007-APR-07","CA","San Diego","OCEANSIDE","CAMP PENDLETON",32.12891,32.8061558059814,0.677245805981386,-117.2324,-117.233907868453,-0.00150786845333073
"SWC-ZC-13-195B","SW-2013-1150671","SeaWorld of California","Sea lion, California","2013-MAR-23","CA","San Diego","OCEAN BEACH","SUNSET CLIFFS NEAREST CROSSROAD IS SUNSET CLIFF BOULAVARD",32.1424,32.8061558059814,0.663755805981381,-117.3011,-117.233907868453,0.0671921315466761
"SWC-MA-06-67B","SW-2006-1058891","SeaWorld of California","Seal, northern elephant","2006-APR-18","CA","San Diego","CORONADO","FERRY LANDING",32.14962,32.8061558059814,0.656535805981385,-112.10199,-117.233907868453,-5.13191786845333
"SWC-ZC-13-252B","SW-2013-1151320","SeaWorld of California","Sea lion, California","2013-MAR-30","CA","San Diego","LA JOLLA","TORREY PINES STATE BEACH. FLAT ROCK. TORREY PINES PARK ROAD.",32.151,32.8061558059814,0.65515580598138,-117.151,-117.233907868453,-0.0829078684533329
"SWC-ZC-13-99B","SW-2013-1150263","SeaWorld of California","Sea lion, California","2013-MAR-09","CA","San Diego","LA JOLLA","LA JOLLA BEACH AND TENNIS CLUB ON STAIRS. NEAREST CROSS STREET SPINDRIFT DRIVE",32.1512,32.8061558059814,0.65495580598138,-177.1533,-117.233907868453,59.9193921315467
"SWC-ZC-15-701B","SW-2015-1173543","SeaWorld of California","Sea lion, California","2015-APR-23","CA","San Diego","LA JOLLA","2600 SPINDRIFT DRIVE AND AVENIDA DE LA PLAYA. LA JOLLA BEACH AND TENNIS CLUB ON BEACH AGAINST THE SEAWALL BEHIND WIND BOARD AND CHAISE LOUNGE STACK.",32.159,32.8061558059814,0.647155805981384,-117.1537,-117.233907868453,-0.0802078684533285
"SWC-ZC-06-58B","SW-2006-1058865","SeaWorld of California","Sea lion, California","2006-APR-16","CA","San Diego","PACIFIC BEACH","SOUTH PACIFIC BEACH",32.1713,32.8061558059814,0.634855805981381,-117.1516,-117.233907868453,-0.0823078684533272
"SWC-ZC-15-208B","SW-2015-1172035","SeaWorld of California","Sea lion, California","2015-FEB-16","CA","San Diego","OCEANSIDE","IN CUSTODY WITH THE OCEANSIDE HARBOR POLICE. 1540 N. HARBOR DRIVE",32.20991,32.8061558059814,0.596245805981383,-117.39422,-117.233907868453,0.160312131546675
"SWC-ZC-16-275B","SW-2016-1183744","SeaWorld of California","Sea lion, California","2016-APR-01","CA","San Diego","ENCINITAS","SWAMIS BEACH. 215 WEST K STREET.",32.211,32.8061558059814,0.595155805981385,-117.1743,-117.233907868453,-0.0596078684533268
"SWC-ZC-14-52B","SW-2014-1157525","SeaWorld of California","Sea lion, California","2014-MAR-30","CA","San Diego","SAN CLEMENTE","RESCUED BY PRIVATE CITIZEN FROM THE BOTTOM OF LAS PULGAS TRAILS AND BROUGHT TO BORDER PATROL OFFICE IN SAN CLEMENTE",32.219,32.8061558059814,0.587155805981382,-117.3127,-117.233907868453,0.0787921315466775
"SBMMC-09-01","SW-2009-1094233","Santa Barbara Marine Mammal Center","Sea lion, California","2009-JAN-03","CA","Santa Barbara",NA,"HENDRYS BEACH",32.2415,34.3506933583508,2.10919335835075,-119.4463,-119.641280476655,-0.194980476655061
"SWC-ZC-14-56B","SW-2014-1157605","SeaWorld of California","Sea lion, California","2014-MAR-31","CA","San Diego","ENCINITAS","IN CUSTODY WITH MOONLIGHT BEACH LIFE GUARDS. PICKED UP FROM PONTO BEACH",32.25,32.8061558059814,0.556155805981383,-117.175,-117.233907868453,-0.058907868453332
"SWC-ZC-15-473B","SW-2015-1173409","SeaWorld of California","Sea lion, California","2015-MAR-14","CA","San Diego","ENCINITAS","400 B STREET, MOONLIGHT BEACH. SEAWORLD TEAM PICKED UP ANIMAL IN CUSTODY AT MOONLIGHT BEACH.",32.25,32.8061558059814,0.556155805981383,-117.1753,-117.233907868453,-0.0586078684533362
"SWC-ZC-16-262B","SW-2016-1183557","SeaWorld of California","Sea lion, California","2016-MAR-26","CA","San Diego","ENCINITAS","MOONLIGHT BEACH. ON 3/27/2016 SEAWORLD TEAM PICKED UP ANIMAL IN CUSTODY AT MOONLIGHT BEACH LIFEGUARD STATION AT 400 C STREET. LIFEGUARDS FOUND ANIMAL AT BONEYARDS BEACH ON 3/26/16.",32.251,32.8061558059814,0.555155805981386,-117.1752,-117.233907868453,-0.0587078684533253
"SWC-ZC-15-99B","SW-2015-1171559","SeaWorld of California","Sea lion, California","2015-FEB-01","CA","San Diego","ENCINITAS","MOONLINGHT BEACH. 500 BLOCK OF H STREET. SEAWORLD TEAM PICKED UP ANIMAL IN CUSTODY BY ENCINITAS LIFEGUARDS.",32.251,32.8061558059814,0.555155805981386,-117.1752,-117.233907868453,-0.0587078684533253
