National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Other Human Interaction,Other Human Int Description,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,2007 Whole Carcass,2007 Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2011-1142119,WDFW2010-204-Necropsy,11NWR01031,Confirmed- High Report,"Dolphin, bottlenose",Tursiops,truncatus,Validated,Steve Jeffries,WDFW/MMI,WDFW/MMI,NW,Olympia,Thurston,WA,Puget Sound,Nisqually Refuge,47.0869,dd.dddd,,–122.7253,dd.dddd,,Internet/Software,Y,CBD,N,N,N,N,,Y,Y,Y,,2011-JAN-31,2011,JAN,31,Beach or Land,,Fresh Dead,N,2011-FEB-02,2011,FEB,2,Fresh Dead,N,MALE,SUBADULT,Y,N,196,cm,Actual,94,kg,Actual,Y,Complete,Fresh,2011-FEB-03,2011,FEB,3,WDFW/MMI/CRC,"See WDFW2010-204 report for live animal sightings. Dolphin was seen live in multple locations (Tacoma, Redondo, Olympia) throughout southern Puget Sound from mid- December to when reported dead. Animal was last seen alive on 1/18/11 in McAlister creek by",WDFW2010-204-Necropsy WDFW2010-204
NW-2012-1148481,HMSC12-07-24-Pp,12NWR07075,Confirmed - Minimum,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Newport,Lincoln,OR,Pacific Ocean,Agate Beach,44.668912,dd.dddd,,–124.061526,dd.dddd,,Internet,N,CBD,N,N,N,N,,N,N,N,N,2012-JUL-24,2012,JUL,24,Beach or Land,,Condition Unknown,Y,,,,,,N,UNKNOWN,UNKNOWN,N,N,0,cm,estimate,0,lb,estimate,N,,,,,,,,"was reported as a ""dead baby pilot whale"" by passer-by. Carcass could not be found next day by stranding responder - was probably washed out with the tide.",
NW-2013-1148505,HMSC13-04-29-Pp,13NWR04013,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Waldport,Lincoln,OR,Pacific Ocean,approximately 3400 S.W. Pacific Coast Highway,44.40167,dd.dddd,,–124.087061,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2013-APR-29,2013,APR,29,Beach or Land,,Fresh Dead,N,2013-APR-29,2013,APR,29,Fresh Dead,N,FEMALE,ADULT,Y,N,163,cm,actual,0,lb,estimate,NA,,,,,,,,,
NW-2013-1148514,HMSC13-05-10-Er,13NWR05010,Confirmed - High Report,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Tierra Del Mar,Tillamook,OR,Pacific Ocean,northern end of beach,45.269187,dd.dddd,,–123.965537,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2013-MAY-10,2013,MAY,10,Beach or Land,,Moderate Decomposition,N,2013-MAY-10,2013,MAY,10,Moderate Decomposition,N,UNKNOWN,PUP/CALF,N,N,0,cm,estimate,0,lb,estimate,Y,limited,fresh,2013-MAY-10,2013,MAY,10,"Jim Rice, Bridget Watts",,
NW-2013-1148522,HMSC13-05-24-Er,13NWR05018,Confirmed - High Report,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Waldport,Lincoln,OR,Pacific Ocean,"Big Stump beach, south end of Patterson State Park; approximately 3400 SW Pacific Coast Highway",44.402695,dd.dddd,,–124.086887,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2013-MAY-24,2013,MAY,24,Beach or Land,,Advanced Decomposition,N,2013-MAY-24,2013,MAY,24,Advanced Decomposition,N,UNKNOWN,PUP/CALF,N,Y,568,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2013-1148524,HMSC13-05-25-Pp,13NWR05020,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Netarts,Tillamook,OR,Pacific Ocean,Happy Camp,45.440102,dd.dddd,,–123.955683,dd.dddd,,Internet,N,CBD,N,N,N,N,,N,N,N,N,2013-MAY-25,2013,MAY,25,Beach or Land,,Moderate Decomposition,N,2013-MAY-25,2013,MAY,25,Moderate Decomposition,N,UNKNOWN,YEARLING,N,N,0,cm,estimate,0,lb,estimate,N,,,,,,,,photographed by ODFW biologist,
NW-2013-1151230,CRC-1268,13NWR07053,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Sequim,Clallam,WA,Strait of Juan de Fuca,"Dungeness Spit, 1/2 mile down spit",48.153,dd.dddd,estimate,–123.1792,dd.dddd,estimate,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2013-JUL-04,2013,JUL,4,Beach or Land,,Fresh Dead,Y,,,,,Fresh Dead,N,FEMALE,ADULT,Y,N,152,cm,estimate,,,,N,,,,,,,,"reported late in the evening on 04-July, just before tide reached animal. No time to respond, animal washed out with the tide. Examined via photos only.",
NW-2013-1151234,CRC-1275,13NWR07057,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Copalis,Grays Harbor,WA,Pacific Ocean,N side of mouth of copalis river,47.14,dd.dddd,actual,–124.1852,dd.dddd,actual,Internet/Software,N,N,N,N,N,N,,Y,Y,Y,,2013-JUL-21,2013,JUL,21,Beach or Land,,Moderate Decomposition,N,2013-JUL-22,2013,JUL,22,Moderate Decomposition,N,FEMALE,ADULT,Y,N,163,cm,actual,74,kg,estimate,Y,complete,fresh,2013-JUL-22,2013,JUL,22,CRC/WDFW,"picked up in afternoon of 21 July by state parks, held on ice til 22 July for JLH.",
NW-2009-1151256,CRC-1011,09NWR09222,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Kalaloch,Jefferson,WA,Pacific Ocean,"Kalaloch, north of campground",47.631,dd.dddd,actual,–124.3814,dd.dddd,actual,GPS,N,CBD,N,N,N,N,,Y,Y,Y,,2009-SEP-16,2009,SEP,16,Beach or Land,,Fresh Dead,N,2009-SEP-17,2009,SEP,17,Fresh Dead,N,FEMALE,ADULT,Y,N,146,cm,actual,125,lb,estimate,Y,limited,fresh,2009-SEP-16,2009,SEP,16,CRC,Limited necropsy performed.,
NW-2010-1132537,WDFW2010-091,10NWR07199,Confirmed- High Report,"Dolphin, bottlenose",Tursiops,truncatus,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Steilacoom,Pierce,WA,Puget Sound,~1/4 mile North of Sunnyside Beach,47.1833,dd.dddd,,–122.5853,dd.dddd,,GPS,N,CBD,N,N,N,N,,Y,Y,Y,,2010-JUL-18,2010,JUL,18,Beach or Land,,Moderate Decomposition,N,2010-JUL-18,2010,JUL,18,Moderate Decomposition,N,FEMALE,ADULT,N,Y,300,cm,Estimated,250,kg,Estimated,Y,Limited,Fresh,2010-JUL-18,2010,JUL,18,WDFW/MMI,Found dead wedged between rocks in hightide near train tracks.,WDFW2010-091
NW-2006-1062679,CRC-767,06NWR08041,,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,,Clallam,WA,Strait of Juan de Fuca,Off Sekiu,,,,,,,,N,Y,N,N,Y,,,,,,,2006-AUG-14,2006,AUG,14,Swimming,,,N,2006-AUG-16,2006,AUG,16,Fresh Dead,N,MALE,SUBADULT,,,140,cm,Actual,40,kg,Actual,Y,,,2006-AUG-16,2006,AUG,16,Cascadia Research/WDFW,incidental catch form to be filled out and sent in by High Tide Seafoods.,
NW-2006-1063369,CRC-770,06NWR078067,Confirmed- High Report,"Whale, minke",Balaenoptera,acutorostrata,Validated,Robin Baird,Cascadia Research,Cascadia Research/Washington Deptartment of Fish and Wildlife,NW,,Mason,WA,Puget Sound,Little Skookum Inlet,47.1546,decimal degrees,,–123.0405,decimal degrees,,GPS,N,N,N,N,N,,,,,,,2006-AUG-23,2006,AUG,23,Beach or Land,,Alive,N,2006-AUG-24,2006,AUG,24,Fresh Dead,N,FEMALE,SUBADULT,,,692,cm,actual,0,,,N,,,,,,,,"Reported by homeowners on 23-Aug-06 at 1400. Was swimming back and forth for a couple of hours before turning and making a bee-line for the shore. Beached itself and thrashed around in the oyster beds, beating flukes until it died. RWB and ABD responded,",
NW-2012-1152579,WDFW2012-149,12NWR09117,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Josh Oliver,WDFW/MMI,WDFW/MMI,NW,Kingston,Kitsap,WA,Puget Sound,12428 brigantine ct,47.4651,dd.dddd,actual,–122.2859,dd.dddd,actual,Internet/Software,N,CBD,N,N,N,N,,Y,Y,Y,,2012-SEP-10,2012,SEP,10,Beach or Land,,Advanced Decomposition,N,2012-SEP-10,2012,SEP,10,Advanced Decomposition,N,MALE,PUP/CALF,N,Y,80,cm,estimate,7.5,kg,actual,Y,limited,fresh,2012-SEP-10,2012,SEP,10,WDFW/MMI,Reported dead on beach with one other Pp (WDFW2012-150) JSO responded only this animal remained. JSO spoke with neighbor who said carcass was on beach for 3 weeks,WDFW2012-149
NW-2007-1074389,PSU07-07-06-Pp,07NWR07154,Confirmed - Medium,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Seaside,Clatsop,OR,Pacific Ocean,cove,4597886,decimal degrees,,–123.93713,decimal degrees,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2007-JUL-06,2007,JUL,6,Beach or Land,,Advanced Decomposition,N,2007-JUL-06,2007,JUL,6,Advanced Decomposition,N,UNKNOWN,YEARLING,Y,N,0,cm,estimate,0,lb,estimate,NA,,,,,,,,,
NW-2006-1065089,PSU06-05-18-Er,06NWR05056,Confirmed - Medium,"Whale, gray",Eschrichtius,robustus,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Astoria,Clatsop,OR,Columbia River,"first sighted in piling near wharf, drifted up to Safeway",46.1934,decimal degrees,,123.8081,decimal degrees,,GPS,N,CBD,N,N,N,N,,,,,,2006-MAY-18,2006,MAY,18,Beach or Land,,Advanced Decomposition,Y,,,,,,N,UNKNOWN,UNKNOWN,,,0,cm,estimate,0,lb,estimate,N,,,,,,,,ultimately towed to mouth of river; possibly came back up on WA side of Columbia,HMSC06-05-18-Er
NW-2015-1181553,PSU15-10-01-Pp,15NWR10041,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Seaside,Clatsop,OR,Pacific,Seaside Cove,45.97612,dd.dddd,estimate,–123.93884,dd.dddd,,Internet,N,Y,N,N,Y,N,,Y,N,Y,N,2015-OCT-01,2015,OCT,1,Beach or Land,,Advanced Decomposition,N,2015-OCT-01,2015,OCT,1,Advanced Decomposition,N,MALE,PUP/CALF,Y,N,89,cm,actual,0,kg,,Y,complete,frozen,2015-NOV-02,2015,NOV,2,"Powell, D'Alessandro et al.",,
NW-2003-1001402,03-GH-081,03NWR02007,Confirmed - Minimum,"Porpoise, Dall's",Phocoenoides,dalli,Validated,F/EN5,NOAA Fisheries,NOAA Fisheries,NW,Ocean City,Grays Harbor,WA,Pacific Ocean,,,,N,,,N,,,CBD,N,N,N,N,,,,,,2003-FEB-18,2003,FEB,18,Beach or Land,,Advanced Decomposition,N,2003-FEB-21,2003,FEB,21,Advanced Decomposition,N,UNKNOWN,ADULT,,,60,in,estimate,,,,,,,,,,,,bird scavenging,
NW-2008-1081437,DNG-08-01,08NWR07075,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,WDFW,USFWS,NOAA Fisheries,NW,Sequim,Clallam,WA,Pacific Ocean,"Puget Sound Base of Dungeoness Spit, south 1/2 mile",48.147275,decimal degrees,actual,123.185158,decimal degrees,actual,Internet,N,CBD,N,N,N,N,,N,N,N,N,2008-JUL-21,2008,JUL,21,,,Fresh Dead,N,2008-JUL-21,2008,JUL,21,Fresh Dead,N,FEMALE,PUP/CALF,Y,N,87,cm,actual,,,,N,,,,,,,,,
NW-2015-1175502,2015-SJ039,15NWR08020,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Volunteer,Whale Museum,Whale Museum,NW,San Juan Island,San Juan,WA,Pacific Ocean,"Eagle Cove, San Juan Island",48.4613,dd.dddd,actual,–123.0329,dd.dddd,actual,GPS,N,N,N,N,N,N,,Y,Y,Y,,2015-AUG-21,2015,AUG,21,Beach or Land,,Fresh Dead,N,2015-AUG-21,2015,AUG,21,Fresh Dead,N,MALE,ADULT,Y,N,149,cm,actual,49,kg,actual,Y,complete,fresh,2015-AUG-26,2015,AUG,26,WM,,
NW-2012-1144024,CRC-1206,12NWR05074,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,west beach of Damon Point,46.941,dd.dddd,,–124.116,dd.dddd,,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2012-MAY-19,2012,MAY,19,Beach or Land,,Advanced Decomposition,Y,,,,,Advanced Decomposition,N,UNKNOWN,SUBADULT,Y,N,4,ft,Actual,,,,N,,,,,,,,no response due to carcass condition,CRC-1206
NW-2007-1069347,HMSC07-06-28-Pp,07NWR06050,Confirmed - Medium,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Lincoln Beach,Lincoln,OR,Pacific Ocean,"near Coronado Shores, Cavalier Lodges",44.863373,decimal degrees,,124.043214,decimal degrees,,Internet,N,CBD,N,N,N,N,,,,,,2007-JUN-28,2007,JUN,28,Beach or Land,,Alive,N,2007-JUN-28,2007,JUN,28,Alive,N,UNKNOWN,YEARLING,,,122,cm,estimate,0,lb,estimate,NA,,,,,,,,"live porpoise released back to water by passers-by and Oregon State Police officer Carla Urbigkeit; no re-sightings reported; occurred at approximately 10:00 PM, no photographs available",
NW-2007-1067315,CRC-789,07NWR05010,Confirmed- High Report,"Whale, killer",Orcinus,orca,Validated,Annie Douglas,Cascadia Research,Cascadia Research,NW,,Grays Harbor,WA,Pacific Ocean,"1.4 miles S of Bonge Ave, near Twin Harbors SP",46.848,decimal degrees,,–124.111,decimal degrees,,Internet/Software,N,Y,N,N,N,Y,,,,,,2007-MAY-22,2007,MAY,22,Beach or Land,,Fresh Dead,N,2007-MAY-22,2007,MAY,22,Fresh Dead,N,FEMALE,ADULT,,,,,,0,,,N,,,,,,,,Dorsal fin reported near Twin Harbors State Park at 0830 on 5/22. Rangers collected and transferred to CRC at the park. CRC transferred to Brad Hanson on afternoon of 5/22/07 for further examination.,CRC-789
NW-2009-1151143,CRC-928,09NWR06108,Confirmed- High Report,"Whale, gray",Eschrichtius,robustus,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Copalis,Grays Harbor,WA,Pacific Ocean,"off Heath Ave, south of Connor Creek",47.1131,dd.dddd,actual,–124.185,dd.dddd,actual,GPS,N,CBD,N,N,N,N,,Y,Y,Y,,2009-JUN-24,2009,JUN,24,Beach or Land,,Moderate Decomposition,N,2009-JUN-24,2009,JUN,24,Moderate Decomposition,N,FEMALE,ADULT,Y,N,1311,cm,actual,,,,Y,limited,fresh,2009-JUN-26,2009,JUN,26,CRC/WDFW,"3rd hand report to NOAA fisheries, JLH went out to verify report. Took photos, necropsy arranged for next day at 1000.",
NW-2017-1195302,HMSC17-01-30-Er,17NWR01025,Confirmed - High Report,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Gold Beach,Curry,OR,Pacific Ocean,north side of Cape Sebastian,42.3406,decimal degrees,,–124.42725,decimal degrees,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2017-JAN-30,2017,JAN,30,Beach or Land,,Advanced Decomposition,N,2017-JAN-30,2017,JAN,30,Advanced Decomposition,N,UNKNOWN,ADULT,N,N,1242,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2014-1159441,CRC-1403,14NWR06044,Unconfirmed,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Copalis,Grays Harbor,WA,Pacific Ocean,Between iron springs and copalis,47.1488,dd.dddd,estimate,–124.1915,dd.dddd,estimate,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2014-JUN-11,2014,JUN,11,Beach or Land,,Advanced Decomposition,Y,,,,,Advanced Decomposition,N,,ADULT,Y,N,175,cm,estimate,,,,N,,,,,,,,"delayed report, received several days later, no response.",
NW-2011-1139620,PSU11-11-14-Oo,11NWR11025,Confirmed - High,"Whale, killer",Orcinus,orca,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Seaview,Pacific,WA,Pacific,Seaview beach access,46.3324,dd.dddd,,–124.0671,dd.dddd,,GPS,N,N,N,N,N,N,,Y,N,Y,Y,2011-NOV-14,2011,NOV,14,Beach or Land,,Fresh Dead,N,2011-NOV-14,2011,NOV,14,Fresh Dead,N,FEMALE,PUP/CALF,Y,N,241.8,cm,actual,0,lb,estimate,Y,Complete,Fresh,2011-NOV-15,2011,NOV,15,Duffield et al.,,
NW-2012-1152453,WDFW2012-115,12NWR07104,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Josh Oliver,WDFW/MMI,WDFW/MMI,NW,Ocean City,Grays Harbor,WA,Pacific Ocean,2 miles north of Ocean City beach access,47.0821,dd.dddd,estimate,–124.1791,dd.dddd,estimate,Internet/Software,N,CBD,N,N,N,N,,Y,Y,Y,,2012-JUL-30,2012,JUL,30,Beach or Land,,Fresh Dead,N,2012-JUL-30,2012,JUL,30,Fresh Dead,N,FEMALE,ADULT,Y,N,155,cm,actual,55,kg,estimate,Y,complete,fresh,2012-JUL-31,2012,JUL,31,CRC/WDFW,Found dead on beach during @ high tide line during beach survey collected and transported to WDFW for necropsy.,WDFW2012-115
NW-2012-1142946,2012-SJ010,12NWR05005,Confirmed - Minimum,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,Lopez Island,San Juan,WA,Pacific Ocean,Flat Point,48.550123,decimal degrees,estimate,–122.919974,decimal degrees,estimate,Internet,N,CBD,N,N,N,N,,N,N,N,N,2012-MAY-06,2012,MAY,6,Beach or Land,,Mummified/Skeletal,Y,,,,,,N,UNKNOWN,UNKNOWN,N,Y,0,cm,estimate,0,kg,estimate,N,,,,,,,,,
